#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   17:57:23      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:23      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:23      0       1823     G     0     0     0     0   Xorg           
 20200604   17:57:23      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:23      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:23      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:24      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:24      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:24      0       1823     G     3     0     0     0   Xorg           
 20200604   17:57:24      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:24      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:24      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:25      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:25      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:25      0       1823     G     2     0     0     0   Xorg           
 20200604   17:57:25      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:25      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:25      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:26      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:26      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:26      0       1823     G     0     0     0     0   Xorg           
 20200604   17:57:26      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:26      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:26      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:27      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:27      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:27      0       1823     G     0     0     0     0   Xorg           
 20200604   17:57:27      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:27      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:27      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:28      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:28      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:28      0       1823     G     0     0     0     0   Xorg           
 20200604   17:57:28      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:28      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:28      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:29      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:29      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:29      0       1823     G     0     0     0     0   Xorg           
 20200604   17:57:29      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:29      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:29      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:30      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:30      0       1608     G     0     0     0     0   gnome-shell    
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200604   17:57:30      0       1823     G     0     0     0     0   Xorg           
 20200604   17:57:30      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:30      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:30      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:31      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:31      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:31      0       1823     G     0     0     0     0   Xorg           
 20200604   17:57:31      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:31      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:31      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:32      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:32      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:32      0       1823     G     3     1     0     0   Xorg           
 20200604   17:57:32      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:32      0       2835     G     0     0     0     0   electron-ssr --
 20200604   17:57:32      0       2901     G     0     0     0     0   code --type=gpu
 20200604   17:57:33      0       1497     G     0     0     0     0   Xorg           
 20200604   17:57:33      0       1608     G     0     0     0     0   gnome-shell    
 20200604   17:57:33      0       1823     G     4     1     0     0   Xorg           
 20200604   17:57:33      0       2214     G     0     0     0     0   gnome-shell    
 20200604   17:57:33      0       2835     G     0     0     0     0   electron-ssr --
