#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   16:03:49      0       1494     G     0     0     0     0   Xorg           
 20200522   16:03:49      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:03:49      0       2154     G     2     0     0     0   Xorg           
 20200522   16:03:49      0       2380     G     2     0     0     0   gnome-shell    
 20200522   16:03:49      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:03:49      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:03:49      0       3233     G     0     0     0     0   firefox        
 20200522   16:03:49      0       3287     G     0     0     0     0   firefox        
 20200522   16:03:49      0       4227     G     0     0     0     0   firefox        
 20200522   16:03:49      0       7358     G     0     0     0     0   firefox        
 20200522   16:03:49      0       8094     G     0     0     0     0   firefox        
 20200522   16:03:49      0       9005     G     0     0     0     0   firefox        
 20200522   16:03:50      0       1494     G     0     0     0     0   Xorg           
 20200522   16:03:50      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:03:50      0       2154     G     8     3     0     0   Xorg           
 20200522   16:03:50      0       2380     G     1     0     0     0   gnome-shell    
 20200522   16:03:50      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:03:50      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:03:50      0       3233     G     0     0     0     0   firefox        
 20200522   16:03:50      0       3287     G     0     0     0     0   firefox        
 20200522   16:03:50      0       4227     G     0     0     0     0   firefox        
 20200522   16:03:50      0       7358     G     0     0     0     0   firefox        
 20200522   16:03:50      0       8094     G     0     0     0     0   firefox        
 20200522   16:03:50      0       9005     G     0     0     0     0   firefox        
 20200522   16:03:51      0       1494     G     0     0     0     0   Xorg           
 20200522   16:03:51      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:03:51      0       2154     G     9     3     0     0   Xorg           
 20200522   16:03:51      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:03:51      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:03:51      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:03:51      0       3233     G     0     0     0     0   firefox        
 20200522   16:03:51      0       3287     G     0     0     0     0   firefox        
 20200522   16:03:51      0       4227     G     0     0     0     0   firefox        
 20200522   16:03:51      0       7358     G     0     0     0     0   firefox        
 20200522   16:03:51      0       8094     G     0     0     0     0   firefox        
 20200522   16:03:51      0       9005     G     0     0     0     0   firefox        
 20200522   16:03:52      0       1494     G     0     0     0     0   Xorg           
 20200522   16:03:52      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:03:52      0       2154     G     0     0     0     0   Xorg           
 20200522   16:03:52      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:03:52      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:03:52      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:03:52      0       3233     G     0     0     0     0   firefox        
 20200522   16:03:52      0       3287     G     0     0     0     0   firefox        
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   16:03:52      0       4227     G     0     0     0     0   firefox        
 20200522   16:03:52      0       7358     G     0     0     0     0   firefox        
 20200522   16:03:52      0       8094     G     0     0     0     0   firefox        
 20200522   16:03:52      0       9005     G     0     0     0     0   firefox        
 20200522   16:03:53      0       1494     G     0     0     0     0   Xorg           
 20200522   16:03:53      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:03:53      0       2154     G     0     0     0     0   Xorg           
 20200522   16:03:53      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:03:53      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:03:53      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:03:53      0       3233     G     0     0     0     0   firefox        
 20200522   16:03:53      0       3287     G     0     0     0     0   firefox        
 20200522   16:03:53      0       4227     G     0     0     0     0   firefox        
 20200522   16:03:53      0       7358     G     0     0     0     0   firefox        
 20200522   16:03:53      0       8094     G     0     0     0     0   firefox        
 20200522   16:03:53      0       9005     G     0     0     0     0   firefox        
 20200522   16:03:54      0       1494     G     0     0     0     0   Xorg           
 20200522   16:03:54      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:03:54      0       2154     G     0     0     0     0   Xorg           
 20200522   16:03:54      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:03:54      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:03:54      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:03:54      0       3233     G     0     0     0     0   firefox        
 20200522   16:03:54      0       3287     G     0     0     0     0   firefox        
 20200522   16:03:54      0       4227     G     0     0     0     0   firefox        
 20200522   16:03:54      0       7358     G     0     0     0     0   firefox        
 20200522   16:03:54      0       8094     G     0     0     0     0   firefox        
 20200522   16:03:54      0       9005     G     0     0     0     0   firefox        
 20200522   16:03:55      0       1494     G     0     0     0     0   Xorg           
 20200522   16:03:55      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:03:55      0       2154     G     0     0     0     0   Xorg           
 20200522   16:03:55      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:03:55      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:03:55      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:03:55      0       3233     G     0     0     0     0   firefox        
 20200522   16:03:55      0       3287     G     0     0     0     0   firefox        
 20200522   16:03:55      0       4227     G     0     0     0     0   firefox        
 20200522   16:03:55      0       7358     G     0     0     0     0   firefox        
 20200522   16:03:55      0       8094     G     0     0     0     0   firefox        
 20200522   16:03:55      0       9005     G     0     0     0     0   firefox        
 20200522   16:03:56      0       1494     G     0     0     0     0   Xorg           
 20200522   16:03:56      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:03:56      0       2154     G     0     0     0     0   Xorg           
 20200522   16:03:56      0       2380     G     0     0     0     0   gnome-shell    
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   16:03:56      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:03:56      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:03:56      0       3233     G     0     0     0     0   firefox        
 20200522   16:03:56      0       3287     G     0     0     0     0   firefox        
 20200522   16:03:56      0       4227     G     0     0     0     0   firefox        
 20200522   16:03:56      0       7358     G     0     0     0     0   firefox        
 20200522   16:03:56      0       8094     G     0     0     0     0   firefox        
 20200522   16:03:56      0       9005     G     0     0     0     0   firefox        
 20200522   16:03:57      0       1494     G     0     0     0     0   Xorg           
