#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   16:21:39      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:39      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:39      0       2154     G     2     1     0     0   Xorg           
 20200522   16:21:39      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:21:39      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:39      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:39      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:39      0       3287     G     0     0     0     0   firefox        
 20200522   16:21:39      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:39      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:39      0       8094     G     0     0     0     0   firefox        
 20200522   16:21:39      0       9005     G     0     0     0     0   firefox        
 20200522   16:21:40      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:40      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:40      0       2154     G     3     1     0     0   Xorg           
 20200522   16:21:40      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:21:40      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:40      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:40      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:40      0       3287     G     0     0     0     0   firefox        
 20200522   16:21:40      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:40      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:40      0       8094     G     0     0     0     0   firefox        
 20200522   16:21:40      0       9005     G     0     0     0     0   firefox        
 20200522   16:21:41      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:41      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:41      0       2154     G     5     2     0     0   Xorg           
 20200522   16:21:41      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:21:41      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:41      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:41      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:41      0       3287     G     0     0     0     0   firefox        
 20200522   16:21:41      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:41      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:41      0       8094     G     0     0     0     0   firefox        
 20200522   16:21:41      0       9005     G     0     0     0     0   firefox        
 20200522   16:21:42      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:42      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:42      0       2154     G     5     1     0     0   Xorg           
 20200522   16:21:42      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:21:42      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:42      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:42      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:42      0       3287     G     0     0     0     0   firefox        
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   16:21:42      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:42      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:42      0       8094     G     0     0     0     0   firefox        
